MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70257719	SLD	369900	374900	9/11/2005	11/15/2005		148	24	520 Russell St	Woburn	MA	01801		2	1	1300	64	8643	Jean Cullinane	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	Spacious “L” shaped ranch on westside near Lexington line.  Home features living  room with energy efficient Hampton woodstove and cath. ceiling that opens to a formal dining room - perfect for entertaining.  Gleaming hardwood floors, new roof and a farmers porch.  The walkout basement features an unheated family room & exercise area.  Garage under and private yard.  Great location!!	Ranch	1	1	Steam, Oil		Reeves	Joyce	WMHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch, Patio, Gutters;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Tankless;	SF	Russell St	520	520	http://media.mlspin.com/photo.aspx?mls=70257719	
70260529	SLD	279900	255000	9/14/2005	11/17/2005		5	5	22 Woodside Terrace	Woburn	MA	01801		3	1.5	924	60	10028	Donna Sachs	Coldwell Banker Residential Brokerage - Beverly	(978) 927-1111	Call List Agent	Contractors can build a nice colonial in this sought after neighborhood. Nice lot. Fix it up and make some money! Great investment!	Ranch		0	Hot Water Baseboard, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:--;Insulation:Full;Electric:--;Interior Features:--;Hot Water:--;	SF	Woodside Terrace	22	22	http://media.mlspin.com/photo.aspx?mls=70260529	
70204368	SLD	425000	397500	6/5/2005	11/18/2005		127	145	93 Garfield Avenue	Woburn	MA	01801		4	1.5	1952	60	9300	Michelle Palumbo	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	Well maintained eight room, four bedroom Garrison Colonial in  excellent location. Home features an eat in kitchen, fireplace living room, spacious bedrooms and hardwood floors throughout.   One car garage under.  2nd floor computer room and lower level semi-finished room.	Garrison	1	1	Oil		Shamrock	Joyce	WHMS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	Garfield Avenue	93	93	http://media.mlspin.com/photo.aspx?mls=70204368	
70239811	SLD	369900	360000	8/10/2005	11/18/2005		70	70	24 Brentwood Road	Woburn	MA	01801		3	2	906	95	4025	Michelle Palumbo	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	Immaculate six room, three bedroom custom ranch in desireable  Central Square. Home offers an eat in kitchen, fireplace living room, new wall to  wall carpeting, central air, french doors lead to an oversized deck, finished  lower level family room and a fenced yard.  Convenient location to public transportation and major routes.	Ranch	1	0	Forced Air, Oil		Wyman	Kennedy	WMHS	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Dishwasher, Disposal;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Fenced Yard;Insulation:--;Electric:200 Amps;Interior Features:Cable Available;Hot Water:--;	SF	Brentwood Road	24	24	http://media.mlspin.com/photo.aspx?mls=70239811	
70264598	SLD	329900	323000	9/20/2005	11/18/2005		53	31	4 Robert Avenue	Woburn	MA	01801		3	1	916	60	10331	Kathleen Ritson	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	Adorable three bedroom Ranch!  Home features hardwood floors, eat in kitchen,  new 2004 Williamson furnace and generous sized rooms. A full basement is   awaiting your finishing touches to virtually double your living space.  Large yard perfect for relaxing or playtime! Quiet tree lined neighborhood yet fantastic location for commuters.  First time buyers or those who want to downsize, this home is a dream come true!!	Ranch	1	0	Forced Air, Oil		Goodyear	Kennedy	WMHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Disposal, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:--;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:Tank;	SF	Robert Avenue	4	4	http://media.mlspin.com/photo.aspx?mls=70264598	
70235890	SLD	450000	400000	8/3/2005	11/22/2005		70	70	6 Laurence Road	Woburn	MA	01801		4	2	1992	50	15178	Barbara Newman	Carlson GMAC Real Estate	(781) 861-8100	Go Direct	Don't miss this very spacious contemporary multi-level on Woburn's West Side. Four levels of living include a rec. room with fireplace and daylight windows. Many amenities include central air and alarm system. Great home for family comfort and gracious entertaining.	Multi-Level	2	1	Forced Air, Oil		Hurld	Joyce	Woburn	Basement:Yes;Fireplaces:2;Roof:--;Floor:--;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:Deck;Insulation:--;Electric:Fuses, Circuit Breakers;Interior Features:Security System;Hot Water:Tank;	SF	Laurence Road	6	6	http://media.mlspin.com/photo.aspx?mls=70235890	
70258756	SLD	319900	321000	9/13/2005	11/22/2005		63	3	108 Eastern Avenue	Woburn	MA	01801		3	2	1348	115	5390	Doris Carlson	Century 21 North Shore	(781) 942-2199	Call List Office, Lock Box, Appointment Required, Sign	Lovingly maintained colonial in quiet neighborhood.Home features hardwood floors, great flowing floor plan,1st floor bedroom or family room and 1 3/4 baths. Manageable nicely landscaped lot w/mature trees,bushes and perennials. One car garage offers storage plus attached quaint potting shed. You'll want to call this home!!	Colonial	1	1	Hot Water Radiators, Oil		Shamrock	Joyce	WHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Refrigerator, Washer, Dryer;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Gutters, Screens;Insulation:Unknown;Electric:Other (See Remarks);Interior Features:Cable Available;Hot Water:Oil;	SF	Eastern Avenue	108	108	http://media.mlspin.com/photo.aspx?mls=70258756	
70241824	SLD	369900	372000	8/9/2005	11/29/2005		92	92	48 Kilby Street	Woburn	MA	01801		3	1	1478	155	7500	Maryellen Maher	CENTURY 21 Crowley	(781) 933-0005	Call List Office, Appointment Required, Sign	Charming six room Colonial in pristine condition located in central square.    Home features a spacious kitchen with nice size eating area with sliders to deck   overlooking landscaped grounds.  First floor family room, large rooms hroughout,  many updates, great expansion possibilites for walk up attic with 2 bedrooms.    Enclosed front porch.  As soon as you walk in you will feel like you’re home.	Colonial	1	0	Forced Air, Oil		Wyman	Kennedy	WMHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Disposal;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed, Deck;Insulation:--;Electric:--;Interior Features:Cable Available, Walk-up Attic;Hot Water:--;	SF	Kilby Street	48	48	http://media.mlspin.com/photo.aspx?mls=70241824	
70286316	SLD	309900	318000	10/29/2005	11/29/2005		5	5	4 Lexington St	Woburn	MA	01801		2	1	1120	75	8350	Patricia Lovett	Prudential Preferred Realty	(781) 933-7200	Call List Office	Westside charming colonial priced to sell! 5 rooms, 2 Bedrooms. LR offers HW under new carpet, FP, large bay window and a built in cabinet. HW on second floor. Updates include new bath, new roof in 2001 and newly painted. Walk to beautiful Horn Pond. Private,scenic backyard. Shed w/electricity.Two driveways. Near public transportation. Move in condition.	Colonial	1	0	Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal;Foundation:Fieldstone;Construction:Frame;Exterior:Aluminum;Exterior Features:Storage Shed;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;	SF	Lexington St	4	4	http://media.mlspin.com/photo.aspx?mls=70286316	
70175095	SLD	529900	509000	4/17/2005	11/30/2005		225	178	41 North Warren Street	Woburn	MA	01801		4	2.5	1900	10	13816	Susan P. deMacedo	Prudential Preferred Realty	(781) 933-7200	Call List Agent, Go Direct	New Construction custom built 7-8 room 4 bedroom 2.5 bath Colonial with hardwood floors on 1st & 2nd floors, ceramic tile baths, Maple & granite kitchen, master bath with jet tub, central air, and walk out basement with expansion possibilities. Call for specifications. Walk to playground & Library Field.  Lot has conservation.  Subject to change at builder's discretion.  Approx. occupancy date in September 2005. Tax assessment is for land only	Colonial		2	Forced Air, Gas					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck;Insulation:--;Electric:200 Amps;Interior Features:--;Hot Water:Natural Gas;	SF	North Warren Street	41	41	http://media.mlspin.com/photo.aspx?mls=70175095	
70252818	SLD	479900	474900	9/6/2005	11/30/2005		63	35	18 Fletcher Road	Woburn	MA	01801		3	2	2000	69	27710	Connie Aliberti	Century 21 Fortin	(781) 729-7777	Call List Office, Lock Box, Appointment Required	Must see this exquisite C.E. Colonial. This beautifully appointed home is situated on a large, naturally bordered, priv. lot. The interior features a brand new kitchen w/Starmark cabinets, center island, stainless steel appl. incl. Viking range. Front to back fireplaced liv.rm. & lovely foyer w/ many built-ins. 1990 fam. rm. addition directly off kitchen boasting cathedral ceiling, wainscotting & custom built oak bookcases. Sunroom off liv.rm. leading to rear deck. Finished playroom in basement	Colonial	1	2	Hot Water Baseboard, Oil		Linscott	Kennedy	Woburn High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch - Enclosed, Deck, Storage Shed;Insulation:Partial;Electric:Circuit Breakers, 100 Amps;Interior Features:Cable Available, Walk-up Attic;Hot Water:Oil, Tankless;	SF	Fletcher Road	18	18	http://media.mlspin.com/photo.aspx?mls=70252818	
70260123	SLD	379900	370000	9/14/2005	11/30/2005		69	69	371 Salem Street	Woburn	MA	01801		2	2	1400	60	10000	Susan P. deMacedo	Prudential Preferred Realty	(781) 933-7200	Call List Office	Immaculate and spacious 6 room ranch w/1 car garage on a large level fenced lot. Living room with hardwood floors, oversized eat in kitchen, newly finished lower level family room with fireplace, plus office or possible additional bedroom in lower level.  Two remodeled bathrooms.  Two bedrooms on first floor (seller may be willing to convert back to 3 bedrooms, this is negotiable). Large deck, shed, one car garage, parking for six cars.	Ranch	1	1	Forced Air, Oil					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Fenced Yard;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;	SF	Salem Street	371	371	http://media.mlspin.com/photo.aspx?mls=70260123	
70263317	SLD	324900	310000	9/20/2005	11/30/2005		131	45	89 NASHUA STREET	Woburn	MA	01801		3	1	1200	67	4900	Karren Shaughnessy	Prudential Preferred Realty	(781) 933-7200	Call List Office, Lock Box	Great potential in this 7 Room Cape. 1st floor eat in kitchen, living room and 2 bedrooms with hardwood flooring, finished 2nd floor currently being used as a 3rd bedroom with plenty of storage and closet space. Partially finised lower level. Beatiful level yard with a shed. Convenient location. Needs some updates but well worth it!	Cape	1	0	Forced Air, Oil					Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Storage Shed, Fenced Yard;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;	SF	NASHUA STREET	89	89	http://media.mlspin.com/photo.aspx?mls=70263317	
70280408	SLD	289900	289900	10/18/2005	11/30/2005		17	17	15 Locust	Woburn	MA	01801		4	2	1822	65	6160	Robert Bergeron	Private Properties	(978) 664-0707	Call List Office, Lock Box	WESTSIDE LOCATION, Large Cape-Cod, 7 Room, 4 Bedroom, 2 Full Baths, Garage Under, Mudroom/Utility Room.  Walk to the Middle School. Home is being sold in  "AS IS"  Condition.	Cape	1	1	Hot Water Baseboard, Oil			Joyce Middle	Woburn High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Disposal, Countertop Range, Refrigerator;Foundation:Poured Concrete, Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Gutters;Insulation:Fiberglass;Electric:110 Volts, 220 Volts, 100 Amps;Interior Features:--;Hot Water:Oil, Tank;	SF	Locust	15	15	http://media.mlspin.com/photo.aspx?mls=70280408	
70285502	SLD	424900	415000	10/21/2005	11/30/2005		17	17	35 Poole St.	Woburn	MA	01801		3	2	1500	55	8450	Paul Mitrano	Vidoli & Assoc., Inc. REALTORS®	(781) 272-1900	Call List Office, Accompanied Showings, Appointment Required	Pristine colonial featuring hardwood floors (1st fl. only), LR w/ FP, dining room, den, full bath on 1st level (2002), newer kit. w/ eating area (1990) and sliders to yard, 2nd level built in 1996, master bedroom w/ cathedral ceilings, 2 additional bedrooms and oversized jacuzzi bath.  LL complete with family room (1994) and walk out to screened porch, level fenced yard with above ground pool. Sec. system, C/A and sprinkler systems. This is an immaculate home not to be missed!!!!!!	Colonial	1	1	Forced Air, Gas		Altavesta	Kennedy	Woburn Memorial	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles;Exterior Features:Porch, Patio, Patio - Enclosed, Pool - Above Ground, Gutters, Storage Shed, Professional Landscaping, Sprinkler System, Screens, Fenced Yard;Insulation:Full, Fiberglass;Electric:200 Amps;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;	SF	Poole St.	35	35	http://media.mlspin.com/photo.aspx?mls=70285502	
70248134	SLD	339900	320000	8/26/2005	12/2/2005		89	53	20 Sturgis St	Woburn	MA	01801		3	1.5	1337	165	8309	Derek B. Amato	Century 21 Travis R. E.	(978) 667-2121	Call List Office, Lock Box, Appointment Required, Sign	Colonial style 3 Bedroom 1.5 Bath home in beautiful neighborhood setting of like homes. Horn Pond is located at the end of the road. Modern kitchen features ceramic tile & breakfast bar leading to a formal dining room. Living room offers a gas fireplace. Fenced in yard boast an above ground pool, deck, and 2 storage sheds.  Roof and windows have been replaced within 1 year. Furnace is approximately 5 years young.  Showing postponed until Monday 9/19/05	Colonial	1	0	Forced Air, Gas					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Pool - Above Ground, Gutters;Insulation:Unknown;Electric:100 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	Sturgis St	20	20	http://media.mlspin.com/photo.aspx?mls=70248134	
70273485	SLD	470000	458000	10/5/2005	12/2/2005		32	16	51 Montvale Ave	Woburn	MA	01801		8	3	3170	105	8587	Donald Sweeney	Coldwell Banker Residential Brokerage - Winchester	(781) 729-7290	Call List Office, Appointment Required	Assessed and used as a 3-family for many years, this house is a LEGAL SINGLE-FAMILY. 3 kitchens, 3 baths. Good bones. A prime candidate for upgrade and conversion. First and second floor units have separate furnaces. Lower level unit and top floor have electric heat, separately controlled. 2 driveways, one on Montvale and one on Fairmount St. Entrance faces Fairmount St., not Montvale.  PROPERTY TO BE SOLD "AS IS." WILL BE DELIVERED VACANT. SOME APPLIANCES INCLUDED.	Colonial	1	0	Central Heat					Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range;Foundation:Fieldstone;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Porch;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:Oil;	SF	Montvale Ave	51	51	http://media.mlspin.com/photo.aspx?mls=70273485	
