MLSNUM	STATUS	LISTPRICE	SOLDPRICE	LISTDATE	SOLDDATE	EXPIREDDATE	DOM	DTO	ADDRESS	CITY	STATE	ZIP	AREA	BEDS	BATHS	SQFT	AGE	LOTSIZE	AGENTNAME	OFFICENAME	OFFICEPHONE	SHOWINGINSTRUCTIONS	REMARKS	STYLE	LEVEL	GARAGE	HEATING	COOLING	ELEMENTARYSCHOOL	JUNIORHIGHSCHOOL	HIGHSCHOOL	OTHERFEATURES	PROPTYPE	STREETNAME	HOUSENUM1	HOUSENUM2	PHOTOURL	
70177564	SLD	1095000	1013000	4/21/2005	11/30/2005		138	138	30 Battle Flagg Road	Bedford	MA	01730		4	3.5	3858	18	56756	Joyce Bunce	J M Barrett & Co., Inc.	(978) 369-6453	Call List Agent, Sign	Elegance, luxury, dramatically light-filled open flr plan & superb amenities-- this impressive young brickfront custom colonial has it all: high ceilings & millwork, dazzling foyer, dual staircases, lst flr library, expansive gourmet kitchen, master suite w/sitting area etc. Additional 491 sq.ft. in lower level has high-ceilinged walkout gameroom with daylite windows & adjacent full bath leading to delightful canopied patio. Sought-after high-end neighborhood near Concord,convenient commutes.	Colonial	1	3	Forced Air, Gas		Davis	Lane	Bedford	Basement:Yes;Fireplaces:2;Roof:--;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Compactor, Microwave;Foundation:Poured Concrete;Construction:--;Exterior:Vinyl, Brick;Exterior Features:Porch, Patio, Professional Landscaping, Sprinkler System, Decorative Lighting, Satellite Dish;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Natural Gas, Tank;	SF	Battle Flagg Road	30	30	http://media.mlspin.com/photo.aspx?mls=70177564	
70258830	SLD	729900	725000	9/12/2005	11/30/2005		19	7	46 Pine St	Bedford	MA	01730		4	2.5	2540	25	30001	James Nagle	Coldwell Banker Residential Brokerage - Lexington	(781) 862-2600	Call List Office, Lock Box, Appointment Required	Young Grande Cape on 30,000 sq.ft. landscaped lot. Custom oak kitchen, family room with dramatic floor to ceiling cobblestone fireplace, formal dining room, and spacious master suite. Two and one half baths, hardwood throughout. Two car oversized garage with loft, sprinkler system. Easy access to Rts 95, 93, & 2.	Cape	1	2	Hot Water Baseboard, Gas		Job Lane/Davis	John Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Gutters, Professional Landscaping, Sprinkler System;Insulation:Fiberglass;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Pine St	46	46	http://media.mlspin.com/photo.aspx?mls=70258830	
70280642	SLD	332000	315000	10/19/2005	11/30/2005		378	23	398 South Road	Bedford	MA	01730		3	1	1132	89	9147	Alastair Hudson	The Langdale Group, Inc.	(781) 791-7663	Call List Agent, Lock Box	Lowest price in Bedford!  Delightful 1,100 sf Cottage/Bungalow with 2/3 bedrooms & garage. Beautiful woodwork & hardwood floors with built-in china cabinets.  New kitchen and bath.  Large basement storage. 2nd floor offers the third bedroom & expansion opportunities (office/den/bedroom). Good sized rear yard on low-traffic street in a residential neighborhood abutting Hanscomb AFB.	Cottage, Bungalow	1	1	Hot Water Baseboard, Electric		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher;Foundation:Concrete Block;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Porch - Enclosed, Covered Patio/Deck, Gutters;Insulation:--;Electric:110 Volts, Circuit Breakers, 100 Amps;Interior Features:Cable Available;Hot Water:Oil, Tankless;	SF	South Road	398	398	http://media.mlspin.com/photo.aspx?mls=70280642	
70235421	SLD	1285000	1140000	8/2/2005	12/6/2005		72	64	20 ROBINSON DRIVE	Bedford	MA	01730		4	3.5	3800	16	40067	Debbie Spencer	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Agent, Lock Box, Appointment Required	Elegant style & Timeless style await you.  This beautifully appointed home with over 3800 sq.ft. of living space features a 2 story foyer,4+ bedrooms 3 1/2 baths a 3 car garage & a full unfinished lower level for future expansion.The fully applianced kitchen showcases granite countertops & natural maple cabinets galore.Enjoy the spectacular 23x20 great room w/cathederal ceiling & in-laid H/W floors w/brazillian cherry & birch. Superb attential to detail inside are matched by a tranquil setting.	Colonial	1	3	Forced Air, Gas		Davis/Lane	john Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher, Disposal, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Professional Landscaping, Sprinkler System;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Tank;	SF	ROBINSON DRIVE	20	20	http://media.mlspin.com/photo.aspx?mls=70235421	
70261534	SLD	479000	462500	9/16/2005	12/15/2005		55	55	19 Alaska Ave	Bedford	MA	01730		3	2	1386	63	35000	Dee Febba	RE/MAX Walden Country, Inc.	(978) 263-8929	Call List Office, Lock Box, Sign	Immaculate cape in desireable neighborhood on near acre lot. Convenient location near stores, schools.  Mint, "like-new" condition with updated kitchen, neutral ceramic tile baths, over-sized 2 car attached garage, farmer's porch and mudroom.  Hardwood floors on 1st level & wall to wall carpeting in 2nd level BRs. Partially finished room in basement. Lovely expansive backyard with stonewalls, gardens, shade trees, and privacy.  So charming!	Cape	1	2	Steam, Oil				Bedford High	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator, Freezer, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Patio, Gutters, Storage Shed, Professional Landscaping, Screens;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Oil, Tankless;	SF	Alaska Ave	19	19	http://media.mlspin.com/photo.aspx?mls=70261534	
70284036	SLD	645000	619500	10/25/2005	12/15/2005		23	23	12 El Will Farm Rd	Bedford	MA	01730		3	3	1922	25	40024	Debbie Spencer	RE/MAX Walden Country, Inc.	(781) 861-7300	Call List Agent, Lock Box, Go Direct	Find peace and tranquility in this privately sited Contemporary Colonial on a near acre wooded lot on a cul-de-sac. There are 3 bedrooms and a spacious kitchen with sliders to a wrap around deck.  There is also a formal livingroom with fireplace and vaulted ceilings, first floor office and a fabulous master with a full bath.  Also enjoy the finished lower level with electric heat for family enjoyment.	Colonial, Contemporary	1	2	Hot Water Baseboard, Gas		Davis/ Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Sprinkler System;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Tank;	SF	El Will Farm Rd	12	12	http://media.mlspin.com/photo.aspx?mls=70284036	
70285441	SLD	459900	443000	10/27/2005	12/20/2005		20	11	20 Hilltop Drive	Bedford	MA	01730		4	1	1424	61	40033	Gail Busch	Coldwell Banker Residential Brokerage - Bedford	(781) 275-7111	Call List Office, Lock Box, Appointment Required, Sign	Warm & inviting ranch style home sited on beautiful land in neighborhood convenient to town ctr. & major commuting rts.  Especially appealing, an eat-in kitchen with picture window, spacious formal dining rm. with built-in china cabinet, living rm. with picture window & fireplace, hardwood under carpet.  Many recent improvements, such as new roof, gutters, windows, exterior paint.	Ranch	1	0	Forced Air, Oil		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:--;Insulation:--;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;	SF	Hilltop Drive	20	20	http://media.mlspin.com/photo.aspx?mls=70285441	
70265349	SLD	729000	665000	9/21/2005	12/22/2005		33	33	14 Cot Hill Road	Bedford	MA	01730		4	2.5	2946	43	40843	Deborah Fogarty	Carlson GMAC Real Estate	(781) 861-8100	Call List Agent, Appointment Required	A beautiful Contemporary with a spacious open floor plan that is perfect for today's lifestyle.  This home has had many recent improvements, including all new Pella energy saving windows, stainless steel appliances and carpeting. Privately set on close to an acre lot that features perennial gardens, all of which can be enjoyed from one of 3 decks/balconies.Other features include 2 fireplaces, a 2 car garage, FR, marble baths, indoor BBQ and a large bright sunroom that can be used year round.	Contemporary	2	2	Forced Air, Gas		Davis/Lane	John Glenn	Bedford	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Marble;Appliances:Range, Dishwasher, Disposal, Microwave, Indoor Grill, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck, Patio, Storage Shed, Professional Landscaping, Fenced Yard;Insulation:Full;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas;	SF	Cot Hill Road	14	14	http://media.mlspin.com/photo.aspx?mls=70265349	
70277758	SLD	1199000	1060000	10/13/2005	12/28/2005		166	60	47 ROBINSON DRIVE	Bedford	MA	01730		4	3.5	3618	10	40280	Janet Terzano	Carlson GMAC Real Estate	(781) 861-8100	Call List Agent, Lock Box, Go Direct	Spectacular combination of light, space & sophistication at Bedford's Premier address "The Estates At Page Hill." Sumptuous 1st floor master suite with octagonal, vaulted ceiling bedroom, marble bath, dramatic 2 story living room, cherry/stainless/granite kitchen with high-end appliances. Walk-out lower level.	Colonial	1	3	Central Heat, Forced Air, Gas		Lane/Davis	Glenn		Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Marble;Appliances:Wall Oven, Disposal, Microwave, Countertop Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck, Professional Landscaping, Sprinkler System, Decorative Lighting;Insulation:Full;Electric:Circuit Breakers;Interior Features:Central Vacuum, Security System, Cable Available;Hot Water:Natural Gas, Tank;	SF	ROBINSON DRIVE	47	47	http://media.mlspin.com/photo.aspx?mls=70277758	
70261842	SLD	549000	525000	9/16/2005	1/11/2006		186	80	3 WAGON WHEEL DRIVE	Bedford	MA	01730		3	2	1816	52	40133	Debbie Spencer	RE/MAX Walden Country, Inc.	(781) 861-7300	Call ShowingTime at 888-627-2775	Open the front door to this sparkling & spacious three bedroom home on a near acre level lot. This home glows with quality & care and offers 3 brs & 1-1/2 baths on the main level. There is a fireplaced livingroom, formal DR, and a bright open kitchen. The first floor has a gas fireplaced familyroom, an office with sliding doors to the rear yard, laundry, 1/2 bath & access to the workshop & 2 car garage. Ready to move in & enjoy...A pleasure to call home.	Raised Ranch	2	2	Hot Water Baseboard, Gas		Davis/ Lane	John Glenn	Bedford	Basement:No;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:Range, Dishwasher, Disposal;Foundation:Slab;Construction:Frame;Exterior:Clapboard, Wood;Exterior Features:Deck, Storage Shed;Insulation:--;Electric:Circuit Breakers, 200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;	SF	WAGON WHEEL DRIVE	3	3	http://media.mlspin.com/photo.aspx?mls=70261842	
70277950	SLD	410000	405000	10/13/2005	1/11/2006		89	19	52 Concord Road	Bedford	MA	01730		3	1	1456	984	21700	Brigitte Senkler	Coldwell Banker Residential Brokerage - Concord	(978) 369-1000	Call List Agent, Lock Box	Charming Dutch Colonial on nice lot near the center.  Level grassy back yard with stone walls. This sturdy house offers, hardwood floors, natural woodwork, living room, nice sized dining room with corner cabinet, French door to screen porch,and eat-in kitchen.  Upstairs there is a full bath, 3 bedrooms and walk-up attic.  There is also a 2 car garage.  Walk to the center, library & school.  Please allow 48 hours for offers.	Gambrel /Dutch	1	2	Central Heat, Steam, Oil		Bedford			Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range;Foundation:Brick;Construction:Frame, Brick;Exterior:Clapboard, Brick;Exterior Features:Porch - Enclosed;Insulation:--;Electric:Fuses;Interior Features:Walk-up Attic;Hot Water:Tank;	SF	Concord Road	52	52	http://media.mlspin.com/photo.aspx?mls=70277950	
70303592	SLD	993000	1100000	12/9/2005	1/13/2006		34	4	2 Buehler Rd	Bedford	MA	01730		4	2.5	3432	20	30001	Jean Colbath	Realty Executives Metro West	(781) 641-3200	Call List Agent, Lock Box, Sign	GOVERNOR WINTHROP ESTATES~YOUNG 4BR+COLONIAL W/2STORY FOYER,SITED ON PRIVATE,SHELTERED 3/4 AC.LOT;CATH.CEIL FP FR;CORIAN CTR.ISLD.KIT W/BREAKFST. NOOK, FP LR&DR W/ELEGANT PILLARS BETWEEN. 1ST FLR.OFFICE, LG 1ST FLR DEN/BONUS RM; DBLE DOOR ENTRY TO MBR SUITE W/JACUZZI BA;2ND FLR. LAUND. PLUS 3 ADD. BRS. LOWER LEVEL~FULL DAYLIGHT WALKOUT W/LOTS WINDOWS AWAITING YOUR FINISHING TOUCHES! LOTS OF POTENTIAL! DON'T MISS THE OPPORTUNITY AT THIS PRICE!	Colonial	1	2	Hot Water Baseboard, Oil		DAVIS/LANE	JOHN GLENN	BEDFORD	Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Marble;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range;Foundation:Poured Concrete;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Deck, Sprinkler System, Decorative Lighting, Satellite Dish;Insulation:Full, Fiberglass;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Oil, Tank;	SF	Buehler Rd	2	2	http://media.mlspin.com/photo.aspx?mls=70303592	
70107416	SLD	575000	575000	10/20/2004	1/19/2006		156	156	7 Caesar Jones Way	Bedford	MA	01730		2	2	1900	10	13004	Jean Winchester	Carlson GMAC Real Estate	(781) 861-8100	Go Direct	The Village at Concord Rd! Next phase to be built by summer.  Some changes have been made to original plan of model (#2C.J.W.)separate laundry room on 2nd fl, larger LR 1 full ba 1st flr.  No 1/2 bath 1st flr. Call Listing Broker for more info. all dimensions are approximate due to design changes.	Colonial	1	2	Forced Air, Gas		Davis	Lane/Glenn	BHS	Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Disposal, Microwave;Foundation:Poured Concrete;Construction:Frame, Modular;Exterior:Vinyl;Exterior Features:Deck, Professional Landscaping, Sprinkler System;Insulation:Partial;Electric:Circuit Breakers, 200 Amps;Interior Features:--;Hot Water:Natural Gas;	SF	Caesar Jones Way	7	7	http://media.mlspin.com/photo.aspx?mls=70107416	
